edgeId,fromFn,fromName,toFn,toName,toAspect,edgeName,weight
0,21,"实际道路运行采集数据",5,场景筛选,I,道路图像数据,1
1,5,场景筛选,6,数据标注,I,场景图像数据,1
2,0,网络结构设计,8,前向传播,C,网络结构,1
3,1,损失函数设计,9,损失计算,C,损失函数,1
4,7,训练数据加载,8,前向传播,I,训练数据,0
5,11,验证数据加载,12,模型处理,I,验证数据,0
6,12,模型处理,13,模型性能评估,I,自车轨迹,1
7,15,感知图像输入,16,提取BEV特征,I,感知图像数据,1.0
8,16,提取BEV特征,17,场景向量化,I,场景BEV特征,1.0
9,22,高层驾驶指令生成,18,自车规划轨迹,I,高层驾驶指令,1.0
10,17,场景向量化,18,自车规划轨迹,I,场景信息,1.0
11,6,数据标注,20,训练-验证集划分,I,数据集,1.0
12,20,训练-验证集划分,7,训练数据加载,I,训练数据集,1.0
13,20,训练-验证集划分,11,验证数据加载,I,验证数据集,1.0
14,2,驾驶路径规划,21,"实际道路运行采集数据",I,驾驶路径,1.0
15,4,传感器同步与定位,21,"实际道路运行采集数据",P,完成同步与定位,1.0
16,3,车辆与传感器配置,21,"实际道路运行采集数据",C,数据采集车辆传感器布置,1.0
17,10,反向传播优化,12,模型处理,C,网络参数,1.0
18,0,网络结构设计,16,提取BEV特征,C,网络结构,1.0
19,10,反向传播优化,16,提取BEV特征,C,网络参数,1.0
20,0,网络结构设计,17,场景向量化,C,网络结构,1.0
21,10,反向传播优化,17,场景向量化,C,网络参数,1.0
22,18,自车规划轨迹,19,轨迹跟踪控制,I,自车规划路径,1.0
23,23,车辆动力学约束,19,轨迹跟踪控制,C,车辆动力学约束,1.0
24,8,前向传播,9,损失计算,I,场景、轨迹信息,1.0
25,7,训练数据加载,9,损失计算,I,训练数据真实标签,0
26,11,验证数据加载,13,模型性能评估,I,验证数据真实标签,0
27,9,损失计算,10,反向传播优化,I,损失值,1.0
28,13,模型性能评估,15,感知图像输入,P,模型通过评估,1.0
29,0,网络结构设计,18,自车规划轨迹,C,网络结构,1.0
30,10,反向传播优化,18,自车规划轨迹,C,网络参数,1.0
31,14,硬件设计部署,15,感知图像输入,P,可以运行,1.0
32,24,提供运行场景,15,感知图像输入,I,实际运行场景,1.0
